filename	scene_label
audio/street_pedestrian-lyon-1003-40091-0-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-1-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-2-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-3-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-4-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-5-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-6-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-7-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-8-a.wav	street_pedestrian
audio/street_pedestrian-lyon-1003-40091-9-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-0-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-1-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-2-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-3-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-4-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-5-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-6-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-7-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-8-a.wav	street_pedestrian
audio/street_pedestrian-prague-1085-40779-9-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-0-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-1-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-2-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-3-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-4-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-5-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-6-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-7-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-8-a.wav	street_pedestrian
audio/street_pedestrian-prague-1037-40957-9-a.wav	street_pedestrian
audio/street_pedestrian-lisbon-1099-40958-0-a.wav	street_pedestrian
audio/street_pedestrian-lisbon-1099-40958-1-a.wav	street_pedestrian
